pre_treatment,post_treatment
1.8943588600958168,2.966417190195116
1.4024361384472868,2.9456537979999404
1.843283485910039,2.144887984975099
1.724285120617008,2.151058044311127
1.104371360775359,2.809119176654481
1.777007334576962,2.4350249131765396
1.36572323228474,2.1819346137953346
1.7098166660900218,2.462288911072549
1.8293450157095954,2.5186878359801943
1.6201830046515193,2.1187477279591227
1.3394832517546749,2.0886103351569756
1.5670259459133224,2.5251754569649414
1.8676260624710708,2.392637161144787
1.5418266505413682,2.122096829343241
1.4015001010719177,2.152580333183045
1.6773966919865329,2.623174093658644
1.419214598400715,2.9718380012105814
1.8237356545258239,2.856107279156489
1.1141674717740417,2.807812708920262
1.0286407110401565,2.507389725744938
